Date,AveragePrice,TotalVolume,plu4046,plu4225,plu4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,region
2020-01-06,1.779791723,251868.12,21565.76,14176.89,17.22,80878.78,0.0,0.0,0.0,organic,California
2020-01-12,1.862070772,244015.05,25645.8,14060.85,27.86,73219.32,0.0,0.0,0.0,organic,California
2020-01-19,1.866729363,232470.14,23729.62,13183.22,30.26,74063.89,0.0,0.0,0.0,organic,California
2020-01-26,1.797532299,248786.41,17591.51,11622.14,1.42,78845.81,0.0,0.0,0.0,organic,California
2020-02-02,1.758653368,244921.26,14051.04,14772.88,23.49,81671.91,0.0,0.0,0.0,organic,California
2020-02-09,1.758000182,256548.09,18915.4,15062.29,16.23,87584.72,0.0,0.0,0.0,organic,California
2020-02-16,1.793584328,269935.5,24235.39,14064.37,23.11,87026.05,0.0,0.0,0.0,organic,California
2020-02-23,1.748697399,276569.28,28891.95,20460.06,11.54,99083.25,0.0,0.0,0.0,organic,California
2020-03-01,1.872529756,271408.05,29966.14,28843.55,127.6,84637.55,0.0,0.0,0.0,organic,California
2020-03-08,2.119409832,240775.49,18335.58,21617.19,41.02,76600.91,0.0,0.0,0.0,organic,California
2020-03-15,2.129709635,339798.62,31150.94,29373.21,26.13,97914.92,0.0,0.0,0.0,organic,California
2020-03-22,2.096198799,251624.35,16974.44,23717.29,11.55,86348.36,0.0,0.0,0.0,organic,California
2020-03-29,2.170541399,229355.52,24707.03,23316.44,70.69,84391.5,0.0,0.0,0.0,organic,California
2020-04-05,2.065746448,289610.82,42052.24,24984.9,144.37,90694.14,0.0,0.0,0.0,organic,California
2020-04-12,2.092454777,273686.11,47398.63,24500.14,107.35,81435.34,0.0,0.0,0.0,organic,California
2020-04-19,2.025006726,257869.97,38844.57,27553.4,90.82,81500.25,0.0,0.0,0.0,organic,California
2020-04-26,1.965980134,255139.57,24074.08,42658.66,53.13,72187.07,0.0,0.0,0.0,organic,California
2020-05-03,1.992147641,283743.41,28888.47,38240.7,82.49,66621.2,0.0,0.0,0.0,organic,California
2020-05-10,1.958173243,306460.92,29657.06,21410.65,40.58,92325.15,0.0,0.0,0.0,organic,California
2020-05-17,2.084444701,310536.63,26988.89,26202.18,57.79,106069.06,0.0,0.0,0.0,organic,California
2020-05-24,2.239665349,320032.06,30950.08,19369.06,56.85,105409.09,0.0,0.0,0.0,organic,California
2020-05-31,2.094385862,295187.5,37769.66,20892.43,70.23,107254.79,0.0,0.0,0.0,organic,California
2020-06-07,2.107578729,306154.4,38689.43,19642.84,60.23,106027.25,0.0,0.0,0.0,organic,California
2020-06-14,2.072757719,301600.95,31338.06,22667.29,83.71,103544.34,0.0,0.0,0.0,organic,California
2020-06-21,1.933704374,323189.48,30690.51,19868.8,42.05,123818.72,0.0,0.0,0.0,organic,California
2020-06-28,1.905622684,287939.05,36122.12,18792.97,65.81,101232.95,0.0,0.0,0.0,organic,California
2020-07-05,2.076328375,325090.61,34455.49,21191.16,37.0,103790.93,0.0,0.0,0.0,organic,California
2020-07-12,2.056037238,296724.2,31207.59,20150.51,25.64,106512.31,0.0,0.0,0.0,organic,California
2020-07-19,2.125059782,287473.5,32678.75,20174.58,49.26,93090.2,0.0,0.0,0.0,organic,California
2020-07-26,1.934563357,285825.92,39054.69,19625.52,29.22,94942.58,0.0,0.0,0.0,organic,California
2020-08-02,2.055288321,280211.45,25182.54,16858.38,20.04,109279.98,0.0,0.0,0.0,organic,California
2020-08-09,1.898971172,293872.82,19479.36,18543.97,12.79,113313.38,0.0,0.0,0.0,organic,California
2020-08-16,2.050461683,280817.59,22448.03,17596.96,12.35,110587.62,0.0,0.0,0.0,organic,California
2020-08-23,1.949062962,287001.41,29274.77,18844.62,21.7,117491.76,0.0,0.0,0.0,organic,California
2020-08-30,2.008288641,264800.48,24056.56,19073.74,14.48,109053.49,0.0,0.0,0.0,organic,California
2020-09-06,1.921680309,308633.58,20950.86,18427.44,52.0,131337.57,0.0,0.0,0.0,organic,California
2020-09-13,1.815454225,316956.5,17458.52,18069.71,6.71,148530.43,0.0,0.0,0.0,organic,California
2020-09-20,1.853868563,294994.91,32417.08,19543.36,2.64,118043.96,0.0,0.0,0.0,organic,California
2020-09-27,1.911132772,277292.7,17213.33,15625.0,7.43,118007.5,0.0,0.0,0.0,organic,California
2020-10-04,1.8923862,297745.35,23155.94,18010.17,11.09,114330.72,0.0,0.0,0.0,organic,California
2020-10-11,1.765500872,288190.95,16274.75,15937.24,5.55,104314.31,0.0,0.0,0.0,organic,California
2020-10-18,1.799003413,284686.07,15176.67,15875.23,31.01,107892.8,0.0,0.0,0.0,organic,California
2020-10-25,1.847882822,292859.75,17064.93,14980.89,9.62,124436.07,0.0,0.0,0.0,organic,California
2020-11-01,1.522753991,495887.74,16989.81,213077.13,36.08,125059.38,0.0,0.0,0.0,organic,California
2020-11-08,1.494097594,350348.08,18061.91,62389.95,39.12,131215.39,0.0,0.0,0.0,organic,California
2020-11-15,1.834403012,264894.29,17843.12,16616.09,8.44,112345.57,0.0,0.0,0.0,organic,California
2020-11-22,1.822246559,280188.18,16723.61,14985.84,13.62,126871.94,0.0,0.0,0.0,organic,California
2020-11-29,1.880166219,253287.91,16456.32,13168.84,4.41,109724.05,0.0,0.0,0.0,organic,California
2020-12-06,1.730004264,423302.76,18906.5,114779.29,63.93,147763.76,0.0,0.0,0.0,organic,California
2020-12-13,1.780015039,342486.84,14961.64,72938.42,82.2,132848.98,0.0,0.0,0.0,organic,California
2020-12-20,1.804389302,301765.22,19073.3,30556.61,7.26,125384.55,0.0,0.0,0.0,organic,California
2020-12-27,1.644115977,294470.65,19473.61,19394.41,8.57,116830.34,0.0,0.0,0.0,organic,California
2021-12-05,1.799730697,360141.69,122279.39,105065.1,5.64,132791.56,0.0,0.0,0.0,organic,California
2021-12-12,1.761224553,361323.37,131194.65,102999.48,0.0,127129.23,0.0,0.0,0.0,organic,California
2021-12-19,1.798741657,347957.13,127284.81,84893.14,22.93,135756.25,0.0,0.0,0.0,organic,California
2021-12-26,1.877748243,324209.9,136603.12,29459.31,2.84,158144.63,0.0,0.0,0.0,organic,California
2022-01-02,1.871516745,316973.86,135953.87,31858.3,0.0,149161.69,0.0,0.0,0.0,organic,California
2022-01-10,1.948135102,268102.12,114451.41,31214.36,14.51,122421.85,0.0,0.0,0.0,organic,California
2022-01-16,1.806714944,415865.04,149659.64,89829.35,2.92,176373.12,0.0,0.0,0.0,organic,California
2022-01-23,1.851276423,357657.73,151145.99,34884.18,5.86,171621.7,0.0,0.0,0.0,organic,California
2022-01-30,1.865149567,341696.92,140093.28,32239.8,0.0,169363.84,0.0,0.0,0.0,organic,California
2022-02-06,1.912061855,340320.75,138003.43,34854.95,2.83,167459.53,0.0,0.0,0.0,organic,California
2022-02-13,1.918006657,329045.58,128610.99,35080.09,2.86,165351.64,0.0,0.0,0.0,organic,California
2022-02-20,1.888394381,308340.17,115649.64,28341.33,1.16,164348.04,0.0,0.0,0.0,organic,California
2022-02-27,1.844301683,344423.93,142676.9,29674.1,0.0,172072.93,0.0,0.0,0.0,organic,California
2022-03-06,1.869700166,339468.71,140481.78,31078.27,0.0,167908.66,0.0,0.0,0.0,organic,California
2022-03-13,1.962401247,312248.9,140008.73,26304.24,1.42,145934.51,0.0,0.0,0.0,organic,California
2022-03-20,2.006331588,303870.29,143190.96,24805.28,0.0,135874.04,0.0,0.0,0.0,organic,California
2022-03-27,1.957879569,306944.86,128024.16,27745.07,0.0,151175.62,0.0,0.0,0.0,organic,California
2022-04-03,2.027270734,324442.36,133062.11,30989.47,0.0,160390.79,0.0,0.0,0.0,organic,California
2022-04-10,2.100101653,301347.93,132745.21,33000.53,0.0,135602.2,0.0,0.0,0.0,organic,California
2022-04-17,2.133544042,292251.85,130307.59,38509.34,0.0,123434.92,0.0,0.0,0.0,organic,California
2022-04-24,2.132978457,266852.53,106776.37,44729.93,0.0,115346.22,0.0,0.0,0.0,organic,California
2022-05-01,2.166671009,297150.46,126995.31,40030.72,0.0,130124.43,0.0,0.0,0.0,organic,California
2022-05-08,2.142097598,300530.47,134575.78,27188.69,0.0,138766.0,0.0,0.0,0.0,organic,California
2022-05-15,2.102983827,306094.62,123853.44,25879.7,2.94,156358.54,0.0,0.0,0.0,organic,California
2022-05-22,2.10554611,329098.61,118988.98,35514.72,2.94,174591.96,0.0,0.0,0.0,organic,California
2022-05-29,2.188517116,314457.06,118386.69,48824.56,0.0,147245.81,0.0,0.0,0.0,organic,California
2022-06-05,2.114794233,316420.5,110973.98,38331.87,0.0,167114.64,0.0,0.0,0.0,organic,California
2022-06-12,2.055850709,331760.53,115588.65,38157.95,4.28,178009.65,0.0,0.0,0.0,organic,California
2022-06-19,2.122794424,294225.58,112184.94,40653.52,3.47,141383.64,0.0,0.0,0.0,organic,California
2022-06-26,2.057183047,306150.47,108708.83,30958.77,1.46,166481.41,0.0,0.0,0.0,organic,California
2022-07-03,2.13037459,307862.68,115425.11,31496.31,4.4,160936.86,0.0,0.0,0.0,organic,California
2022-07-10,2.196312065,287610.2,122147.5,19631.91,0.0,145830.79,0.0,0.0,0.0,organic,California
2022-07-17,2.224560668,279319.76,119729.03,19122.01,0.0,140468.72,0.0,0.0,0.0,organic,California
2022-07-24,2.243772675,273984.53,124102.2,19764.07,0.0,130118.25,0.0,0.0,0.0,organic,California
2022-07-31,2.177646271,264264.19,110207.51,19255.88,0.0,134800.8,0.0,0.0,0.0,organic,California
2022-08-07,2.223862864,272581.43,120489.46,20591.37,0.0,131500.59,0.0,0.0,0.0,organic,California
2022-08-14,2.131650358,235418.1,88530.02,19864.47,0.0,127023.61,0.0,0.0,0.0,organic,California
2022-08-21,2.103403848,247702.71,92416.36,23675.37,0.0,131610.99,0.0,0.0,0.0,organic,California
2022-08-28,1.99373835,262064.62,89725.04,20096.61,0.0,152242.98,0.0,0.0,0.0,organic,California
2022-09-04,2.147031851,234227.23,103718.71,17453.5,0.0,113055.02,0.0,0.0,0.0,organic,California
2022-09-11,2.046121222,371242.6,102524.54,128850.32,2.56,139865.18,0.0,0.0,0.0,organic,California
2022-09-18,2.029216684,320538.38,101926.02,82216.59,0.0,136395.76,0.0,0.0,0.0,organic,California
2022-09-25,2.019606304,270366.74,109895.37,24109.5,0.0,136361.87,0.0,0.0,0.0,organic,California
2022-10-02,1.957047233,245635.83,95340.25,18055.17,1.46,132238.96,0.0,0.0,0.0,organic,California
2022-10-09,1.944609293,256234.86,99723.92,17844.55,0.0,138666.38,0.0,0.0,0.0,organic,California
2022-10-16,1.886245258,275466.38,110944.35,16644.67,0.0,147877.36,0.0,0.0,0.0,organic,California
2022-10-23,1.858000692,270275.24,116328.49,12817.49,0.0,141129.26,0.0,0.0,0.0,organic,California
2022-10-30,1.838672045,247436.09,106047.21,11629.85,0.0,129759.03,0.0,0.0,0.0,organic,California
2022-11-06,1.822811044,279580.08,128506.55,12114.18,1.41,138957.93,0.0,0.0,0.0,organic,California
2022-11-13,1.932445877,234350.31,110455.77,13149.93,0.0,110744.61,0.0,0.0,0.0,organic,California
2022-11-20,1.74720081,260404.4,95134.3,12507.97,2.94,152759.19,0.0,0.0,0.0,organic,California
2022-11-27,1.750023926,265827.54,106059.89,10361.96,8.74,149396.96,0.0,0.0,0.0,organic,California
2022-12-04,1.664097223,305284.08,120022.53,13806.19,0.0,171455.35,0.0,0.0,0.0,organic,California
2022-12-11,1.626761352,307841.52,105874.53,32830.29,11.65,169125.06,0.0,0.0,0.0,organic,California
2022-12-18,1.707301645,266410.95,97346.79,14421.76,1.46,154640.95,0.0,0.0,0.0,organic,California
2022-12-25,1.740920788,283532.1,117014.49,12375.15,0.0,154142.46,0.0,0.0,0.0,organic,California
2023-01-01,1.827464887,295496.52,123403.29,12492.58,1.45,159599.2,0.0,0.0,0.0,organic,California
2023-01-09,1.316453231,494165.73,35454.19,6203.89,0.0,182990.54,0.0,0.0,0.0,organic,California
2023-01-15,1.191090299,562118.01,42036.84,6102.83,0.0,168665.74,0.0,0.0,0.0,organic,California
2023-01-22,1.527419333,354902.97,23530.73,6552.49,0.0,195295.06,0.0,0.0,0.0,organic,California
2023-01-29,1.548394599,380999.88,22451.09,7821.28,0.0,199687.11,0.0,0.0,0.0,organic,California
2023-02-05,1.637396646,303631.13,20831.48,6795.24,0.0,171760.16,0.0,0.0,0.0,organic,California
2023-02-12,1.516376846,333248.38,20406.06,5954.54,0.0,204675.78,0.0,0.0,0.0,organic,California
2023-02-19,1.626093236,302724.55,23522.29,6209.02,10.13,174184.0,0.0,0.0,0.0,organic,California
2023-02-26,1.541860828,333207.82,26858.6,6676.63,2.89,203729.14,0.0,0.0,0.0,organic,California
2023-03-05,1.577091033,309047.86,26687.51,6458.14,0.0,185925.26,0.0,0.0,0.0,organic,California
2023-03-12,1.465758377,336519.6,37223.94,6669.9,0.0,214340.87,0.0,0.0,0.0,organic,California
2023-03-19,1.468255624,352630.69,23377.38,6119.28,2.9,227802.35,0.0,0.0,0.0,organic,California
2023-03-26,1.438319149,370524.18,22932.49,7167.91,4.36,236466.31,0.0,0.0,0.0,organic,California
2023-04-02,1.475866638,383278.38,19342.08,6055.31,0.0,247903.69,0.0,0.0,0.0,organic,California
2023-04-09,1.420456842,395236.18,22981.48,6577.53,0.0,265572.66,0.0,0.0,0.0,organic,California
2023-04-16,1.487666194,355254.63,29729.59,7166.35,2.91,232647.43,0.0,0.0,0.0,organic,California
2023-04-23,1.456727777,366567.66,25156.92,7429.43,0.0,231796.52,0.0,0.0,0.0,organic,California
2023-04-30,1.566345027,359880.32,118214.08,23729.16,2.33,197622.97,0.0,0.0,0.0,organic,California
2023-05-07,1.527616906,325080.94,83562.97,44911.37,0.0,177829.66,0.0,0.0,0.0,organic,California
2023-05-14,1.543423022,330767.52,83094.85,49788.73,0.0,178851.0,0.0,0.0,0.0,organic,California
2023-05-21,1.599146984,312998.99,108019.87,25993.12,2.84,161896.72,0.0,0.0,0.0,organic,California
2023-05-28,1.609561465,323220.1,116905.11,24277.06,1.46,165303.26,0.0,0.0,0.0,organic,California
2023-06-04,1.633763759,319817.97,107233.75,24904.12,8.77,173684.47,0.0,0.0,0.0,organic,California
2023-06-11,1.65956057,310413.01,113468.81,18119.03,4.39,162539.57,0.0,0.0,0.0,organic,California
2023-06-18,1.656096738,305704.32,116259.11,22818.2,0.0,149632.11,0.0,0.0,0.0,organic,California
2023-06-25,1.634763151,270537.95,98554.14,21134.39,5.99,133259.0,0.0,0.0,0.0,organic,California
2023-07-02,1.69745318,321613.63,134488.63,20880.66,1.47,149771.77,0.0,0.0,0.0,organic,California
2023-07-09,1.705977378,343972.93,142428.87,19951.69,2.94,164647.45,0.0,0.0,0.0,organic,California
2023-07-16,1.671266501,339628.02,138252.68,20149.28,0.0,166997.95,0.0,0.0,0.0,organic,California
2023-07-23,1.692097897,337686.28,143749.82,18343.37,1.47,161803.91,0.0,0.0,0.0,organic,California
2023-07-30,1.695054069,351502.07,150675.57,15856.22,4.4,172027.04,0.0,0.0,0.0,organic,California
2023-08-06,1.68730464,330034.09,127769.67,24565.87,0.0,164749.17,0.0,0.0,0.0,organic,California
2023-08-13,1.655149814,293516.1,136893.95,13843.35,2.93,129860.49,0.0,0.0,0.0,organic,California
2023-08-20,1.713370297,317136.23,145075.21,12303.14,0.0,142512.17,0.0,0.0,0.0,organic,California
2023-08-27,1.682494937,304086.04,129915.07,25019.16,0.0,134706.35,0.0,0.0,0.0,organic,California
2023-09-03,1.76468323,312235.31,140955.46,21098.95,4.4,134607.82,0.0,0.0,0.0,organic,California
2023-09-10,1.783147534,284087.68,139049.39,12879.43,0.0,117419.64,0.0,0.0,0.0,organic,California
2023-09-17,1.808573741,281979.6,141645.19,10753.45,0.0,116200.23,0.0,0.0,0.0,organic,California
2023-09-24,1.893532396,240970.11,130530.31,10405.94,0.0,88287.51,0.0,0.0,0.0,organic,California
2023-10-01,1.801142988,258585.75,140766.13,10858.79,0.0,93392.74,0.0,0.0,0.0,organic,California
2023-10-08,1.637038336,271522.63,135818.61,10201.8,0.0,109871.92,0.0,0.0,0.0,organic,California
2023-10-15,1.735828421,270790.04,132462.92,13374.64,2.91,111014.4,0.0,0.0,0.0,organic,California
2023-10-22,1.754947338,258212.84,128661.37,12344.75,5.89,103972.93,0.0,0.0,0.0,organic,California
2023-10-29,1.675994996,260502.02,126904.44,11804.45,0.0,109495.53,0.0,0.0,0.0,organic,California
2023-11-05,1.734741149,247599.01,121090.69,11383.43,0.0,102805.25,0.0,0.0,0.0,organic,California
2023-11-12,1.717385368,290836.96,125847.05,10813.1,0.0,142127.22,0.0,0.0,0.0,organic,California
2023-11-19,1.727136157,271097.77,120937.09,8513.68,0.0,129489.38,0.0,0.0,0.0,organic,California
2023-11-26,1.73488096,268456.7,115377.24,7771.02,0.0,135478.19,0.0,0.0,0.0,organic,California
2023-12-03,1.663419115,290944.44,114223.14,8976.7,1.46,154905.12,0.0,0.0,0.0,organic,California
